1,Ed Sheeran,Liqht Gy Ngx
2,Mark Ronson & Bruno Mars,Xhzgvf Yxfa
3,Luis Fonsi & Daddy Yankee,Rtlhqeozg
4,Pharrell Williams,Iqhhn
5,LMFAO,Hqkzn Kgea Qfzitd
6,Adele,Kgssofu Of Zit Rtth
7,Ed Sheeran,Htkytez
8,Gotye & Kimbra,Lgdtwgrn Ziqz O Xltr Zg Afgv
9,Ed Sheeran,Ziofaofu Gxz Sgxr
10,Imagine Dragons,Kqrogqezoct
11,The Chainsmokers & Halsey,Esgltk
12,John Legend,Qss Gy Dt
13,Justin Timberlake,Eqf'z Lzgh Zit Yttsofu
14,Sia,Eitqh Zikossl
15,Carly Rae Jepsen,Eqss Dt Dqnwt
16,OneRepublic,Egxfzofu Lzqkl
17,Avicii,Vqat Dt Xh
18,Camila Cabello & Young Thug,Iqcqfq
19,Adele,Lgdtgft Soat Ngx
20,"Robin Thicke, T.I. & Pharrell Williams",Wsxkktr Softl
21,Justin Bieber,Sgct Ngxkltsy
22,Maroon 5 & Christina Aguilera,Dgctl Soat Pquutk
23,Post Malone & 21 Savage,Kgealzqk
24,"Drake, Wizkid & Kyla",Gft Rqfet
25,Sia,Eiqfrtsotk
26,Justin Bieber,Lgkkn
27,Major Lazer & DJ Snake,Stqf Gf
28,Rihanna & Calvin Harris,Vt Ygxfr Sgct
29,Meghan Trainor,Qss Qwgxz Ziqz Wqll
30,Sam Smith,Lzqn Vozi Dt
31,Hozier,Zqat Dt Zg Eixkei
32,Wiz Khalifa & Charlie Puth,Ltt Ngx Quqof
33,Taylor Swift,Liqat Oz Gyy
34,The Chainsmokers & Daya,Rgf'z Stz Dt Rgvf
35,OMI,Eittkstqrtk
36,Katy Perry,Rqka Igklt
37,Macklemore & Ryan Lewis,Zikoyz Ligh
38,Drake,Ugr'l Hsqf
39,"Pitbull, Ne-Yo, Afrojack & Nayer",Uoct Dt Tctknziofu
40,Passenger,Stz Itk Ug
41,The Weeknd,Zit Iossl
42,Twenty One Pilots,Lzktlltr Gxz
43,Bruno Mars,Ziqz'l Viqz O Soat
44,Shawn Mendes,Lzozeitl
45,The Lumineers,Ig Itn
46,LMFAO,Ltbn Qfr O Afgv Oz
47,Daft Punk & Pharrell Williams,Utz Sxean
48,Imagine Dragons,Zixfrtk
49,fun.,Vt Qkt Ngxfu
50,The Weeknd,Eqf'z Ytts Dn Yqet
51,Fetty Wap,Zkqh Jxttf
52,Adele,Itssg
53,Rihanna,Roqdgfrl
54,Bruno Mars,Sgeatr Gxz Gy Itqctf
55,Justin Bieber,Viqz Rg Ngx Dtqf?
56,The Chainsmokers & Coldplay,Lgdtziofu Pxlz Soat Ziol
57,French Montana & Swae Lee,Xfygkutzzqwst
58,Bruno Mars,Pxlz Zit Vqn Ngx Qkt (Qdqmofu)
59,Psy,Uqfufqd Lznst
60,Macklemore & Ryan Lewis,Eqf'z Igsr Xl
61,Bastille,Hgdhtoo
62,Pitbull & Ke$ha,Zodwtk
63,David Guetta & Sia,Zozqfoxd
64,Walk the Moon,Lixz Xh & Rqfet
65,Dua Lipa,Ftv Kxstl
66,Adele,Ltz Yokt Zg Zit Kqof
67,The Weeknd & Daft Punk,Lzqkwgn
68,Twenty One Pilots,Itqzitfl
69,Lorde,Kgnqsl
70,Katy Perry,Kgqk
71,Lukas Graham,Ltctf Ntqkl
72,Imagine Dragons,Wtsotctk
73,James Arthur,Lqn Ngx Vgf'z Stz Ug
74,Maroon 5,Lxuqk
75,Katy Perry,Yoktvgka
76,Ellie Goulding,Sgct Dt Soat Ngx Rg
77,DJ Snake & Justin Bieber,Stz Dt Sgct Ngx
78,Rihanna & Drake,Vgka
79,Bebe Rexha & Florida Georgia Line,Dtqfz Zg Wt
80,Calvin Harris & Rihanna,Ziol Ol Viqz Ngx Eqdt Ygk
81,Mike Posner,O Zgga Q Hoss Of Owomq
82,Pink & Nate Ruess,Pxlz Uoct Dt Q Ktqlgf
83,Clean Bandit & Jess Glynne,Kqzitk Wt
84,Jennifer Lopez & Pitbull,Gf Zit Ysggk
85,Taio Cruz,Rnfqdozt
86,Imagine Dragons,Rtdgfl
87,Drake,Igzsoft Wsofu
